slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,asun,0,,,
rank,1,pca_centered,0,,,
rank,1,pca_svd,0,,,
rank,1,pca_noop,0,,,
rank,1,ours,0,,,
rank,2,asun,0,,,
rank,2,pca_centered,0,,,
rank,2,pca_svd,0,,,
rank,2,pca_noop,0,,,
rank,2,ours,0,,,
rank,3,asun,500000,0.04278619975303028,8.878792439530926e-09,
rank,3,pca_centered,500000,0.8902624870477875,1.0020149906811024,
rank,3,pca_svd,500000,2.3474294940440363,1.7254091705753787,
rank,3,pca_noop,500000,2.72602759329925,2.445604654594053,
rank,3,ours,500000,8.797558984495627e-09,8.579725218050121e-09,
pointgroup,C1,asun,424700,0.018842953222539368,8.773208395837977e-09,4247
pointgroup,C1,pca_centered,424700,0.9174741876644013,1.0197422725860017,4247
pointgroup,C1,pca_svd,424700,2.3636659192602365,1.7448983989351183,4247
pointgroup,C1,pca_noop,424700,2.7198028458587142,2.4477464649145735,4247
pointgroup,C1,ours,424700,8.80079951086453e-09,8.590591605077338e-09,4247
pointgroup,Cs,asun,69800,0.17318397129810126,9.495832511583345e-09,698
pointgroup,Cs,pca_centered,69800,0.7484856610443474,0.8854655768377911,698
pointgroup,Cs,pca_svd,69800,2.245687561183448,1.6128307074653794,698
pointgroup,Cs,pca_noop,69800,2.7553649452022095,2.427236417566954,698
pointgroup,Cs,ours,69800,8.804122959082088e-09,8.539551573706228e-09,698
pointgroup,C2,asun,2500,0.24923307092202895,0.00010698715805158233,25
pointgroup,C2,pca_centered,2500,0.6646829562865808,0.7870530612062742,25
pointgroup,C2,pca_svd,2500,2.574060965572048,1.803888053818506,25
pointgroup,C2,pca_noop,2500,3.0009426609419863,2.7280600898031864,25
pointgroup,C2,ours,2500,8.32627360255126e-09,8.153632183088507e-09,25
pointgroup,C2v,asun,2300,0.15133771301911025,1.8227073921962218e-08,23
pointgroup,C2v,pca_centered,2300,0.542127393615757,0.5098529574975528,23
pointgroup,C2v,pca_svd,2300,2.1545375169164007,1.573176477327547,23
pointgroup,C2v,pca_noop,2300,2.6568452832851603,2.2676593865342163,23
pointgroup,C2v,ours,2300,8.551893752487775e-09,8.301827411375694e-09,23
pointgroup,C2h,asun,200,0.5642163396153228,0.0014672640755582088,2
pointgroup,C2h,pca_centered,200,0.36549979233943164,0.0012352976267827375,2
pointgroup,C2h,pca_svd,200,2.5037388019513247,1.9952471786675474,2
pointgroup,C2h,pca_noop,200,2.9418083303284863,2.8377166356094112,2
pointgroup,C2h,ours,200,1.0599322732113525e-08,1.060478677092112e-08,2
pointgroup,C3v,asun,100,0.4961499031252379,0.9016032667003531,1
pointgroup,C3v,pca_centered,100,0.8017172248035592,0.9549747999041185,1
pointgroup,C3v,pca_svd,100,2.404626931379627,3.156734055394635,1
pointgroup,C3v,pca_noop,100,2.526577640739732,2.5225890090589296,1
pointgroup,C3v,ours,100,6.35627253655448e-09,6.359468330392791e-09,1
pointgroup,Ci,asun,100,0.6548329267066373,0.8897615807145385,1
pointgroup,Ci,pca_centered,100,0.6198342075341942,0.8247146859564831,1
pointgroup,Ci,pca_svd,100,3.8645080533236564,5.723743408852539,1
pointgroup,Ci,pca_noop,100,4.298596736272886,4.619563907031722,1
pointgroup,Ci,ours,100,1.0846975595677697e-08,1.1038143555976464e-08,1
pointgroup,D2d,asun,100,0.8613946528398924,1.0103908700129407,1
pointgroup,D2d,pca_centered,100,0.7080146790762377,1.2144206481335151,1
pointgroup,D2d,pca_svd,100,2.6023039735650446,3.4346861921161733,1
pointgroup,D2d,pca_noop,100,2.80283654829766,2.7457808445907563,1
pointgroup,D2d,ours,100,4.824544575927554e-09,4.496823181161834e-09,1
pointgroup,D2h,asun,100,0.0001519367514774544,7.704010348085925e-05,1
pointgroup,D2h,pca_centered,100,9.425934426041972e-05,9.165732971323139e-05,1
pointgroup,D2h,pca_svd,100,1.6645719590332981,1.5368839551841162,1
pointgroup,D2h,pca_noop,100,1.9076654271867193,1.8834598352488328,1
pointgroup,D2h,ours,100,7.83118511636051e-09,7.67655734635823e-09,1
pointgroup,C3h,asun,100,0.17000819180789278,0.00021531437381598886,1
pointgroup,C3h,pca_centered,100,0.40990490350650566,0.45838796116932246,1
pointgroup,C3h,pca_svd,100,1.719017866331098,1.1150302150838534,1
pointgroup,C3h,pca_noop,100,2.3402473308865037,2.3530508635514256,1
pointgroup,C3h,ours,100,9.613554737403631e-09,9.67844395550021e-09,1
